,customer_id,prefix,first_name,last_name,birth_date,marital_status,email_address,annual_income,number_dependents,education_level,occupation,homeowner
0,2126f7da-90b6-4cca-aa14-3d19d3d847ee,MS.,GABRIELLE,GONZALEZ,1966-03-18,S,gabrielle52@adventure-works.com,60000.0,0.0,Graduate Degree,Skilled Manual,Y
1,94400f64-b5c5-4265-937b-d1b5e9f3ddbe,MR.,EVAN,BAKER,1952-02-22,S,evan32@adventure-works.com,60000.0,2.0,High School,Professional,Y
2,06f7ae8d-9592-486a-b7e3-55e620cb3edd,MR.,PUNYA,PALIT,1969-01-13,S,punya0@adventure-works.com,50000.0,2.0,Bachelors,Skilled Manual,N
3,11d44a25-9fb2-440d-a63d-836122ab69bd,MRS.,DESTINY,MOORE,1949-02-09,S,destiny8@adventure-works.com,30000.0,4.0,High School,Professional,Y
4,35da8878-543c-4e56-8ceb-c6009782446b,MS.,MACKENZIE,YOUNG,1977-08-21,S,mackenzie38@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y
5,78a566f5-6bb3-4761-a2c7-21179665d9f0,MR.,CORY,PRASAD,1946-06-21,M,cory7@adventure-works.com,20000.0,4.0,High School,Skilled Manual,N
6,7d2894b7-3a0b-4f65-9555-f88753412b23,MRS.,MAYRA,MEHTA,1968-01-11,S,mayra14@adventure-works.com,60000.0,2.0,Bachelors,Professional,N
7,09c95a8f-c60b-4862-87a9-aeea75347cc7,MR.,GEORGE,RANA,1960-12-17,M,george17@adventure-works.com,80000.0,5.0,Partial College,Professional,Y
8,70cecc44-15ce-4fc2-9348-79a44662d210,MR.,OMAR,MA,1961-07-18,S,omar15@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y
9,23103d86-1d7e-486e-989b-f653b97f1470,MRS.,CINDY,GONZALEZ,1967-02-09,S,cindy17@adventure-works.com,20000.0,1.0,Partial College,Manual,Y
10,dea56f99-7134-40bd-ba2b-c67669d50f62,MRS.,CAROLYN,PEREZ,1972-09-19,M,carolyn21@adventure-works.com,40000.0,2.0,Partial College,Clerical,Y
11,55cd8d1f-b212-4648-99c7-59d570ed3ce8,MRS.,RUTH,LOPEZ,1942-03-04,M,ruth21@adventure-works.com,20000.0,1.0,Partial College,Manual,Y
12,229780a5-8648-4029-8f2e-5c4433789f37,MR.,DYLAN,JONES,1964-07-04,M,dylan38@adventure-works.com,100000.0,5.0,Partial College,Professional,Y
13,41799ed6-889b-4547-93da-64712f9e156e,MS.,LACEY,LUO,1978-03-08,S,lacey40@adventure-works.com,20000.0,0.0,Bachelors,Clerical,N
14,f2320f8a-9f51-46db-b74f-baeef8c126ce,MRS.,SHAWNA,LUO,1964-02-23,S,shawna6@adventure-works.com,20000.0,2.0,High School,Manual,Y
15,80da1af4-dd08-4891-b221-1403ff4b2c12,MR.,DYLAN,MILLER,1953-03-07,M,dylan33@adventure-works.com,60000.0,3.0,Partial High School,Skilled Manual,Y
16,11cb0c0d-c8e2-415a-a7f8-86bdc2aba73d,MRS.,KRISTEN,ZHENG,1930-06-18,M,kristen16@adventure-works.com,90000.0,1.0,Graduate Degree,Management,Y
17,5fe39e24-d9df-428c-b7ec-c506915c80ff,MRS.,TANYA,GUTIERREZ,1956-10-25,M,tanya7@adventure-works.com,20000.0,1.0,Bachelors,Clerical,Y
18,b5eeb25b-24ec-4bf2-adce-2b1a8b090e55,MR.,WARREN,SHE,1956-07-03,M,warren36@adventure-works.com,150000.0,2.0,High School,Professional,Y
19,41ddb9bc-621c-4ae0-9ba2-796e6495336f,MRS.,ANNA,BROOKS,1971-01-22,S,anna23@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y
20,b3ee2dcb-60ce-444c-a666-a4dce94efda8,MS.,KIMBERLY,RAMIREZ,1976-09-09,S,kimberly10@adventure-works.com,30000.0,0.0,Partial College,Clerical,N
21,6e428071-3c2e-434c-8692-4441f9ae93a7,MRS.,BAILEY,COX,1935-05-06,S,bailey8@adventure-works.com,50000.0,2.0,Graduate Degree,Management,Y
22,a5a56614-5963-4f5e-b710-672069ecd964,MS.,ABIGAIL,HENDERSON,1973-10-20,M,abigail30@adventure-works.com,60000.0,0.0,Partial College,Professional,N
23,c0fc56db-460c-4a56-9900-760740a0d26b,MR.,JASON,CARTER,1967-04-15,S,jason39@adventure-works.com,70000.0,0.0,Partial College,Skilled Manual,N
24,532ca240-8b4a-4aaa-a3a6-598f70e91e32,MRS.,JADE,KELLY,1973-02-06,S,jade1@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y
25,6a41e1ab-4513-4ec6-90be-27d2f896b86b,MRS.,BAILEY,BELL,1944-04-12,S,bailey11@adventure-works.com,70000.0,4.0,Bachelors,Management,Y
26,a97198c9-b794-4cee-b07a-1e8b57e7ebd3,MR.,ROY,SAUNDERS,1953-07-20,M,roy10@adventure-works.com,90000.0,4.0,Partial College,Professional,Y
27,0f158900-f6c9-4b4b-b55c-d0c6826beece,MRS.,ARTHUR,PERRY,1965-06-22,M,arthur1@adventure-works.com,50000.0,4.0,Bachelors,Skilled Manual,Y
28,b4af5826-2fd8-40b1-a111-5d59841ed168,MR.,SHAUN,XU,1962-04-11,S,shaun6@adventure-works.com,30000.0,1.0,Partial College,Clerical,N
29,6c9c668e-0fa9-4c84-90f4-5802b9334b77,MS.,STEPHANIE,WOOD,1978-03-26,S,stephanie29@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,N
30,b0e0cd8a-61a2-44d1-beb0-f35e002b015d,MR.,RYAN,ALEXANDER,1975-11-23,M,ryan22@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y
31,4134705f-2d19-44cb-802f-77de31343448,MRS.,LAUREN,HENDERSON,1945-03-03,S,lauren52@adventure-works.com,70000.0,4.0,Bachelors,Management,Y
32,98603b24-302f-4581-91f7-c85a4e290017,MR.,ALFREDO,BLANCO,1974-06-27,M,alfredo16@adventure-works.com,40000.0,1.0,Bachelors,Skilled Manual,Y
33,e42dd9fe-2bb6-4acf-8d71-d92c04b5178a,MR.,ISAAC,JAMES,1974-06-21,M,isaac7@adventure-works.com,30000.0,0.0,Graduate Degree,Skilled Manual,Y
34,700907d8-a434-4f88-9579-7ad0543331e6,MRS.,NAOMI,GUTIERREZ,1968-03-07,M,naomi11@adventure-works.com,70000.0,2.0,Bachelors,Skilled Manual,Y
35,026a3eea-a7f1-4a72-ae76-24ec22c27667,MRS.,VANESSA,JENKINS,1949-03-22,M,vanessa7@adventure-works.com,60000.0,2.0,Bachelors,Management,Y
36,07370ec2-c866-47f8-8cc1-3900e0fdbd44,MRS.,GABRIELLE,BRYANT,1965-10-04,S,gabrielle40@adventure-works.com,50000.0,3.0,Bachelors,Skilled Manual,N
37,d4c0f758-5816-458d-b0fe-1d4c741e5c7b,MR.,MIGUEL,CLARK,1965-04-09,S,miguel19@adventure-works.com,80000.0,3.0,Bachelors,Skilled Manual,Y
38,dbf817b2-d1ce-4ef8-9a1b-7ba3cea5b60c,MS.,MAYRA,SANCHEZ,1976-05-02,S,mayra19@adventure-works.com,20000.0,0.0,High School,Manual,N
